"Symbol","Description","Fund Type","Leveraged ETP","Regional Exposure: USA","Morningstar Category","Optionable ETFs","Average Volume (10 Day)"
"MSOX","AdvisorShares MSOS Daily Leveraged ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","1410656.2"
"MST","Defiance Leveraged Long + Income MSTR ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","422104.1"
"MSTU","T-Rex 2X Long MSTR Daily Target ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","14795774.3"
"MSTW","Roundhill MSTR WeeklyPay ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","377099.9"
"MSTX","Defiance Daily Target 2X Long MSTR ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","48214070.4"
"MULL","GraniteShares 2x Long MU Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","317010.8"
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","1310215.7"
"NBIG","Leverage Shares 2X Long NBIS Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","518443.2"
"NEBX","Tradr 2X Long NBIS Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","733525.5"
"NFLU","T-REX 2X Long NFLX Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","206924.3"
"NUGT","Direxion Daily Gold Miners Index Bull 2X Shares","ETF, Leveraged","Yes","15.12%","Trading--Leveraged Equity","1","651371.4"
"NVDG","Leverage Shares 2X Long NVDA Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","470571.2"
"NVDL","GraniteShares 2x Long NVDA Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","8921857.6"
"NVDU","Direxion Daily Nvda Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","422086.6"
"NVDW","Roundhill NVDA WeeklyPay ETF","ETF, Leveraged","Yes","100.00%","Trading--Miscellaneous","1","135102.5"
"NVDX","T-Rex 2X Long NVIDIA Daily Target ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","8278478"
"NVOX","Defiance Daily Target 2X Long NVO ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","813691.8"
"NVTX","Tradr 2X Long NVTS Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","150054.6"
"NVYY","GraniteShares YieldBOOST NVDA ETF","ETF, Leveraged","Yes","--","Derivative Income","1","188954.7"
"OKLL","Defiance Daily Target 2X Long OKLO ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","3684830.2"
"OPEX","Tradr 2X Long OPEN Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","435567.7"
"ORCX","Defiance Daily Target 2X Long ORCL ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2935973.6"
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X Shares ETF","ETF, Leveraged","Yes","98.43%","Trading--Leveraged Equity","1","203620.8"
"PLTG","Leverage Shares 2X Long PLTR Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","220190.9"
"PLTU","Direxion Daily PLTR Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","1210094.3"
"PLTW","Roundhill PLTR WeeklyPay ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","243541.8"
"PTIR","GraniteShares 2x Long PLTR Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2945332.9"
"PXIU","T-REX 2X Long UPXI Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","337830.8"
"PYPG","Leverage Shares 2X Long PYPL Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","207005.6"
"QBTX","Tradr 2X Long QBTS Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","1809234.9"
"QLD","ProShares Ultra QQQ","ETF, Leveraged","Yes","96.01%","Trading--Leveraged Equity","1","4353704.1"
"QPUX","Defiance 2X Daily Long Pure Quantum ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","321956"
"QUBX","Tradr 2X Long QUBT Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","263294.6"
"RDTL","GraniteShares 2x Long RDDT Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","229700.7"
"RETL","Direxion Daily Retail Bull 3X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","309348.6"
"RGTU","Tradr 2X Long RGTI Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","367596.5"
"RGTX","Defiance Daily Target 2X Long RGTI ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2946949.2"
"RIOX","Defiance Daily Target 2X Long RIOT ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","613480.1"
"RKLX","Defiance Daily Target 2X Long RKLB ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2612715.6"
"ROBN","T-Rex 2X Long HOOD Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","538376.5"
"SLON","ProShares Ultra Solana ETF","ETF, Leveraged","Yes","--","Digital Assets","1","189526.2"
"SMCL","GraniteShares 2x Long SMCI Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","4882513.7"
"SMCX","Defiance Daily Target 2X Long SMCI ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2521907.1"
"SMU","Tradr 2X Long SMR Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2673524.1"
"SMUP","T-REX 2X Long SMR Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2826077.7"
"SOFX","Defiance Daily Target 2X Long SOFI ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","617662"
"SOLT","2x Solana ETF","ETF, Leveraged","Yes","--","Digital Assets","1","9571431.2"
"SOXL","Direxion Daily Semiconductor Bull 3X Shares","ETF, Leveraged","Yes","83.00%","Trading--Leveraged Equity","1","73121418.3"
"SPXL","Direxion Daily S&P500® Bull 3X Shares","ETF, Leveraged","Yes","99.47%","Trading--Leveraged Equity","1","1865206.8"
"SSO","ProShares Ultra S&P500","ETF, Leveraged","Yes","99.47%","Trading--Leveraged Equity","1","3644836.8"
"TECL","Direxion Daily Technology Bull 3X Shares","ETF, Leveraged","Yes","98.95%","Trading--Leveraged Equity","1","791198.1"
"TEMT","Tradr 2X Long TEM Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","575030.7"
"TMF","Direxion Daily 20+ Year Treasury Bull 3X Shares","ETF, Leveraged","Yes","--","Trading--Leveraged Debt","1","5457376.4"
"TNA","Direxion Daily Small Cap Bull 3X Shares","ETF, Leveraged","Yes","97.15%","Trading--Leveraged Equity","1","8749054.9"
"TQQQ","ProShares UltraPro QQQ","ETF, Leveraged","Yes","96.01%","Trading--Leveraged Equity","1","66622092.2"
"TSL","GraniteShares 1.25x Long Tsla Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","593467.9"
"TSLL","Direxion Daily TSLA Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","76823312.1"
"TSLR","Graniteshares 2x Long TSLA Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","1406915.9"
"TSLT","T-Rex 2X Long Tesla Daily Target ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","2629145.7"
"TSLW","Roundhill TSLA WeeklyPay ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","233442.1"
"TSYY","GraniteShares YieldBOOST TSLA ETF","ETF, Leveraged","Yes","--","Derivative Income","1","2754452.2"
"UBRL","GraniteShares 2x Long UBER Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","129569.4"
"UBT","ProShares Ultra 20+ Year Treasury","ETF, Leveraged","Yes","--","Trading--Leveraged Debt","1","113304.3"
"UCO","ProShares Ultra Bloomberg Crude Oil","ETF, Leveraged","Yes","--","Trading--Leveraged Commodities","1","3116768.7"
"UDOW","ProShares UltraPro Dow30","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","3623978"
"UGL","ProShares Ultra Gold","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Commodities","1","3879794.5"
"UNHG","Leverage Shares 2X Long UNH Daily ETF","ETF, Leveraged","Yes","--","Industrials","1","1328967.9"
"UPRO","ProShares UltraPro S&P500","ETF, Leveraged","Yes","99.47%","Trading--Leveraged Equity","1","3547992.8"
"URTY","ProShares UltraPro Russell2000","ETF, Leveraged","Yes","97.15%","Trading--Leveraged Equity","1","1350046"
"USD","ProShares Ultra Semiconductors","ETF, Leveraged","Yes","99.10%","Trading--Leveraged Equity","1","618878.6"
"UTSL","Direxion Daily Utilities Bull 3X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","129229.2"
"UVIX","2x Long VIX Futures ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","16122513.4"
"UVXY","ProShares Ultra VIX Short-Term Futures ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","5344540.9"
"UWM","ProShares Ultra Russell2000","ETF, Leveraged","Yes","97.15%","Trading--Leveraged Equity","1","588312.9"
"UXRP","ProShares Ultra XRP ETF","ETF, Leveraged","Yes","--","Digital Assets","1","446745.1"
"WPAY","Roundhill WeeklyPay Universe ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","385695.5"
"WULX","Tradr 2X Long WULF Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","135256.3"
"XRPT","2x XRP ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","3027247.1"
"XXRP","Teucrium 2x Long Daily XRP ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","1926240.7"
"YINN","Direxion Daily FTSE China Bull 3X Shares","ETF, Leveraged","Yes","1.55%","Trading--Leveraged Equity","1","2014030.4"
